name,countryId,geoRegionId,cityId,townId,districtId,quarterId,districtName,updated,type,id
Beşkoz Köyü,1,6,2,17,121,1006,Köyler,1.61192E+12,Quarter,1006
Tahtalı Mh.,1,0,16,189,894,10070,Köyler,1.62276E+12,Quarter,10070
Unçukuru Mh.,1,0,16,189,894,10071,Köyler,1.62276E+12,Quarter,10071
Üçpınar Mh.,1,0,16,189,894,10072,Köyler,1.62276E+12,Quarter,10072
Yolçatı Mh.,1,0,16,189,894,10074,Köyler,1.62276E+12,Quarter,10074
İbrahimpaşa Mh.,1,0,16,190,895,10075,Ulucami,1.62276E+12,Quarter,10075
Nalbantoğlu Mh.,1,0,16,190,895,10076,Ulucami,1.62276E+12,Quarter,10076
Orhanbey Mah.,1,0,16,190,895,10077,"Tayakadın, Ulucami",1.62276E+12,Quarter,10077
Alacamescit Mah.,1,0,16,190,895,10078,Ulucami,1.62276E+12,Quarter,10078
Tuzpazarı Mh.,1,0,16,190,895,10079,Ulucami,1.62276E+12,Quarter,10079
Burunçayır Köyü,1,6,2,17,121,1007,Köyler,1.61192E+12,Quarter,1007
Reyhan Mah.,1,0,16,190,895,10080,Ulucami,1.62276E+12,Quarter,10080
Alaaddin Mah.,1,0,16,190,895,10081,Ulucami,1.62276E+12,Quarter,10081
Alipaşa Mh.,1,0,16,190,895,10082,Ulucami,1.62276E+12,Quarter,10082
İvazpaşa Mh.,1,0,16,190,895,10083,Ulucami,1.62276E+12,Quarter,10083
Kavaklı Mh.,1,0,16,190,895,10084,Ulucami,1.62276E+12,Quarter,10084
Tahtakale Mah.,1,0,16,190,895,10085,Ulucami,1.62276E+12,Quarter,10085
Maksem Mah.,1,0,16,190,896,10086,Maksem,1.62276E+12,Quarter,10086
Mollafenari Mah.,1,0,16,190,896,10087,Maksem,1.62276E+12,Quarter,10087
Mollagürani Mh.,1,0,16,190,896,10088,Maksem,1.62276E+12,Quarter,10088
Osmangazi Mah.,1,0,16,190,896,10089,Maksem,1.62276E+12,Quarter,10089
Pınarbaşı Mh.,1,0,16,190,896,10090,Maksem,1.62276E+12,Quarter,10090
Muradiye Mah.,1,0,16,190,896,10091,Maksem,1.62276E+12,Quarter,10091
Yahşibey Mh.,1,0,16,190,896,10092,Maksem,1.62276E+12,Quarter,10092
Alacahırka Mh.,1,0,16,190,896,10093,Maksem,1.62276E+12,Quarter,10093
Demirkapı Mh.,1,0,16,190,896,10095,Maksem,1.62276E+12,Quarter,10095
Hamzabey Mah.,1,0,16,190,896,10096,Maksem,1.62276E+12,Quarter,10096
Kocanaip Mah.,1,0,16,190,896,10097,Maksem,1.62276E+12,Quarter,10097
Ahmetpaşa Mh.,1,0,16,190,897,10098,Altıparmak,1.62276E+12,Quarter,10098
Aktarhüssam Mh.,1,0,16,190,897,10099,Altıparmak,1.62276E+12,Quarter,10099
Çaykaya Köyü,1,6,2,17,121,1009,"Köyler, Suvarlı, Çakırhüyük, Üçgöz",1.61192E+12,Quarter,1009
Küçükçıldırım Mh.,1,3,1,1,23,100,Köyler,1.62276E+12,Quarter,100
Altıparmak Mh.,1,0,16,190,897,10100,Altıparmak,1.62276E+12,Quarter,10100
Çırpan Mh.,1,0,16,190,897,10101,Altıparmak,1.62276E+12,Quarter,10101
Hocahasan Mah.,1,0,16,190,897,10102,Altıparmak,1.62276E+12,Quarter,10102
İntizam Mh.,1,0,16,190,897,10103,Altıparmak,1.62276E+12,Quarter,10103
Kuruçeşme Mh.,1,0,16,190,897,10104,Altıparmak,1.62276E+12,Quarter,10104
Şehabettinpaşa Mh.,1,0,16,190,897,10105,"Altıparmak, Tophane",1.62276E+12,Quarter,10105
Şehreküstü Mh.,1,0,16,190,897,10106,"Altıparmak, Tophane",1.62276E+12,Quarter,10106
Selimiye Mah.,1,0,16,190,897,10107,Altıparmak,1.62276E+12,Quarter,10107
Çekirge Mh.,1,0,16,190,898,10108,Çekirge,1.62276E+12,Quarter,10108
Kükürtlü Mh.,1,0,16,190,898,10109,Çekirge,1.62276E+12,Quarter,10109
Çilboğaz Köyü,1,6,2,17,121,1010,Köyler,1.61192E+12,Quarter,1010
Doburca Mah.,1,0,16,190,898,10110,Çekirge,1.62276E+12,Quarter,10110
Dikkaldırım Mh.,1,0,16,190,898,10111,Çekirge,1.62276E+12,Quarter,10111
Hüdavendigar Mh.,1,0,16,190,898,10112,Çekirge,1.62276E+12,Quarter,10112
Tayakadın Mh.,1,0,16,190,899,10113,"Haşim İşcan, Tayakadın",1.62276E+12,Quarter,10113
Demirtaşpaşa Mh.,1,0,16,190,899,10114,Tayakadın,1.62276E+12,Quarter,10114
Doğanbey Mh.,1,0,16,190,899,10115,Tayakadın,1.62276E+12,Quarter,10115
Hacı İlyas Mh.,1,0,16,190,899,10116,Tayakadın,1.62276E+12,Quarter,10116
Kiremitçi Mh.,1,0,16,190,899,10118,Tayakadın,1.62276E+12,Quarter,10118
Sakarya Mah.,1,0,16,190,899,10119,Tayakadın,1.62276E+12,Quarter,10119
Eğerli Köyü,1,6,2,17,121,1011,Köyler,1.61192E+12,Quarter,1011
Ulu Mah.,1,0,16,190,899,10120,Tayakadın,1.62276E+12,Quarter,10120
Elmasbahçeler Mh.,1,0,16,190,899,10121,Tayakadın,1.62276E+12,Quarter,10121
Kayıhan Mh.,1,0,16,190,899,10122,Tayakadın,1.62276E+12,Quarter,10122
Yakuplar Mh.,1,0,16,203,967,10123,Köyler,1.62276E+12,Quarter,10123
Çiftehavuzlar Mh.,1,0,16,190,900,10125,Çirişhane,1.62276E+12,Quarter,10125
Çirişhane Mh.,1,0,16,190,900,10126,Çirişhane,1.62276E+12,Quarter,10126
Fatih Mah.,1,0,16,190,900,10127,Çirişhane,1.62276E+12,Quarter,10127
Küplüpınar Mh.,1,0,16,190,900,10128,Çirişhane,1.62276E+12,Quarter,10128
Santral Garaj Mah.,1,0,16,190,900,10129,Çirişhane,1.62276E+12,Quarter,10129
Güneykaş Köyü,1,6,2,17,121,1012,Köyler,1.61192E+12,Quarter,1012
Tuna Mah.,1,0,16,190,900,10130,Çirişhane,1.62276E+12,Quarter,10130
Mehmet Akif Mah.,1,0,16,190,901,10131,Soğanlı,1.62276E+12,Quarter,10131
Çukurcaköy Mh.,1,0,16,190,901,10132,Soğanlı,1.62276E+12,Quarter,10132
Gaziakdemir Mah.,1,0,16,190,901,10133,Soğanlı,1.62276E+12,Quarter,10133
Sırameşeler Mh.,1,0,16,190,901,10134,Soğanlı,1.62276E+12,Quarter,10134
Soğanlı Mh.,1,0,16,190,901,10135,Soğanlı,1.62276E+12,Quarter,10135
Armutköy Mh.,1,0,16,190,901,10136,Soğanlı,1.62276E+12,Quarter,10136
Alemdar Mah.,1,0,16,190,901,10137,Soğanlı,1.62276E+12,Quarter,10137
Nilüferköy Mh.,1,0,16,190,908,10138,Köyler,1.62276E+12,Quarter,10138
Yeniceabat Mah.,1,0,16,190,901,10139,Soğanlı,1.62276E+12,Quarter,10139
Harmanardı Köyü,1,6,2,17,121,1013,Köyler,1.61192E+12,Quarter,1013
Çeltikköy Mh.,1,0,16,190,901,10140,Soğanlı,1.62276E+12,Quarter,10140
Dereçavuşköy Mh.,1,0,16,190,901,10141,Soğanlı,1.62276E+12,Quarter,10141
Bahar Mah.,1,0,16,190,902,10142,Kovukçınar,1.62276E+12,Quarter,10142
